Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
Его весь мир знает.	Ante todo, tratar de pescar un novio.	I've received your letter and have come.'	— Quale prova?	Mögen die Gelehrten erforschen,
-- То есть знаю по репутации и по виду.	¡Todo Moscú hablará de ello y con razón!	'Yes, all my hopes are fixed on you,' said her brother.	Quella di far girare i tavolini?	worin diese Kraft besteht.‹
Знаю, что он умный, ученый, божественный что-то...	Si queréis dar fiestas y veladas, invitad a todo el mundo y no a esos galancetes preferidos, haced venir a todos esos pisaverdes (así llamaba el Príncipe a los jóvenes de Moscú), contratad a un pianista y que bailen todos, pero, ¡por Dios, no invitéis a los galanes con la intención de arreglar casamientos!	'Well, tell me all about it.'	Su, scusatemi, signore e signori, ma per me è più divertente giocare all’anellino — disse il vecchio principe, guardando Vronskij e indovinando che era stato lui a organizzare la cosa.	Nein, ich kann nicht sagen, warum das nicht eine neue Kraft sein könnte, wenn sie ...«
Но ты знаешь, это не в моей... not in my line, -- сказал Вронский.	¡Me da asco pensar en ello!	And Oblonsky began his story.	— Nell’anellino, ancora ancora, c’è un certo senso.	»Darum nicht«, unterbrach ihn Ljewin wieder, »weil bei der Elektrizität jedesmal, wenn Sie ein Stück Harz an Wolle reiben, eine bestimmte Erscheinung eintritt, hier aber nicht jedesmal;
-- Да, он очень замечательный человек; немножко консерватор, но славный человек, -- заметил Степан Аркадьич, -- славный человек.	Pero tú has conseguido tu objeto: llenar de pájaros la cabeza de la chiquilla.	On reaching his house, he helped his sister out of the carriage, pressed her hand, and drove off to his office.	Vronskij guardò con sorpresa il principe coi suoi occhi fermi e, sorridendo appena, cominciò subito a parlare con la Nordston del grande ballo della settimana seguente.	folglich liegt keine Naturerscheinung vor.«
-- Ну, и тем лучше для него, -- сказал Вронский улыбаясь.	Personalmente, Levin vale mil veces más.	CHAPTER XIX	— Spero che ci verrete — disse rivolto a Kitty.	Wronski, der wohl das Gefühl hatte, daß das Gespräch einen für einen Salon zu ernsten Charakter annahm, erwiderte nichts weiter, sondern wandte sich in der Absicht, das Gesprächsthema zu wechseln, mit heiterem Lächeln den Damen zu.
-- А, ты здесь, -- обратился он к высокому старому лакею матери, стоявшему у двери, -- войди сюда.	El otro es un petimetre de San Petersburgo, igual a los demás.	WHEN ANNA ARRIVED Dolly was sitting in her little drawing-room giving a fair-haired, plump little boy (who already resembled his father) a French reading-lesson.	Non appena il vecchio principe si allontanò da lui, Levin uscì inosservato, riportando, quale ultima impressione della serata, il viso sorridente e felice di Kitty che rispondeva alla domanda di Vronskij a proposito del ballo.	»Lassen Sie uns doch gleich einmal einen Versuch anstellen, Gräfin!« fing er an;
Вронский в это последнее время, кроме общей для всех приятности Степана Аркадьича, чувствовал себя привязанным к нему еще тем, что он в его воображении соединялся с Кити.	¡Parece que los fabrican en serie!	The boy, as he read, kept twisting and trying to pull off a loose button that hung from his jacket.	XV	aber Ljewin wollte seinen Gedanken gern erst noch vollständig aussprechen.
-- Ну что ж, в воскресенье сделаем ужин для дивы? -- сказал он ему, с улыбкой взяв его под руку.	Y aunque fuera el heredero del trono, mi hija no necesita de nadie...	His mother moved his plump little hand away several times, but it always returned to the button.	Quando la serata fu finita, Kitty raccontò alla madre il suo colloquio con Levin, e, malgrado la pena che provava per lui, la rallegrava l’idea di aver avuto una “domanda di matrimonio”.	»Ich bin der Meinung«, fuhr er fort, »daß dieser Versuch der Spiritisten, ihre Wunder durch irgendeine neue Kraft zu erklären, ganz erfolglos ist.
-- Непременно.	–Pero ¿qué he hecho yo de malo?	At last she pulled the button off and put it into her pocket.	Non aveva nessun dubbio di non essersi regolata così come conveniva.	Sie reden geradeheraus von einer unkörperlichen Kraft und suchen ihr doch durch das materielle Experiment beizukommen.«
Я сберу подписку.	–Ahora te lo diré... ––empezó el Príncipe, con ira,	'Keep your hands quiet, Grisha,' she said, and again took up the rug she was knitting, a piece of work begun long ago, to which she always returned in times of trouble, and which she was now knitting, nervously throwing the stitches over with her fingers and counting them.	Ma a letto, per molto tempo, non poté prendere sonno.	Alle warteten darauf, daß er schlösse, und er fühlte das.
Ах, познакомился ты вчера с моим приятелем Левиным? -- спросил Степан Аркадьич.	–	Though she had sent word to her husband the day before that she did not care whether his sister came or not, she had prepared everything for her visit and awaited her with agitation.	Un’unica immagine la perseguitava ostinata.	»Ich glaube, Sie würden ein vorzügliches Medium sein«, sagte die Gräfin Northstone.
-- Как же.	Lo sé de antemano.	Dolly was overpowered by her sorrow and was quite absorbed by it.	Era il viso di Levin con le sopracciglia aggrottate e gli occhi buoni che guardavano di sotto in su, scoraggiati e tristi, mentre, in piedi, ascoltava suo padre e guardava lei e Vronskij.	»Sie haben so etwas Schwärmerisches an sich.«
Но он что-то скоро уехал.	Y si te hiciera caso, nuestra hija no se casaría nunca.	Nevertheless, she remembered that her sister-in-law, Anna, was the wife of one of the most important men in Petersburg, and a grande dame.	E provò tanta pena per lui che le vennero le lacrime agli occhi.	Ljewin öffnete den Mund und wollte etwas erwidern;
--	Para eso más valdría imos al pueblo.	Thanks to that circumstance she did not carry out her threat to her husband, and did not forget that her sister-in-law was coming.	Ma allora pensò subito a quegli col quale lo aveva cambiato.	aber er errötete und schwieg.
Он славный малый, -- продолжал Облонский.	–Mejor sería.	'After all, it is not in the least Anna's fault,' thought she.	Ricordò con vivezza il viso maschio di lui, la calma dignitosa e la benevolenza che emanavano in ogni suo gesto verso tutti;	»Wollen wir es gleich einmal mit dem Tischrücken versuchen, Prinzessin?«
-- Не правда ли?	–	'I know nothing but good about her, and she has never shown me anything but kindness and friendship.'	ricordò l’amore per lei dell’uomo che amava e la gioia le tornò nell’animo e con un sorriso di felicità poggiò la testa sul guanciale.	sagte Wronski.
-- Я не знаю, -- отвечал Вронский, -- отчего это во всех москвичах, разумеется исключая тех, с кем говорю, -- шутливо вставил он, -- есть что-то резкое.	No te pongas así.	It was true that, as far as she could remember her visit to the Karenins in Petersburg, she had not liked their house: there seemed to be something false in the tone of their family life.	“Che pena, che pena, ma che farci?	»Sie erlauben es doch, Fürstin?«
Что-то они всь на дыбы становятся, сердятся, как будто всь хотят дать почувствовать что-то...	¿Acaso he buscado yo algo por mí misma?	'But why should I not receive her?	La colpa non è mia” si andava dicendo;	Er stand auf und suchte mit den Augen nach einem Tischchen.
