ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
'They're done with blacking, I believe.'	--¿Querrían hacer el favor de decirme --empezó Alicia con cierta timidez-- por qué están pintando estas rosas?	Egli aveva osservato Alice per qualche istante con molta curiosità, e quelle furono le sue prime parole.	Alice não queria ofender o Rato	Elle prononça ce dernier mot si fort et si subitement qu’Alice en frémit.	»Was zeichneten sie ?« sagte Alice, ihr Versprechen ganz vergessend.
'Boots and shoes under the sea,' the Gryphon went on in a deep voice, 'are done with a whiting.	Cinco y Siete no dijeron nada, pero miraron a Dos.	—Tu non dovresti fare osservazioni personali, — disse Alice un po' severa;	outra vez, por isso perguntou com muito cuidado: '	Mais elle comprit bientôt que cela s’adressait au bébé et non pas à elle ;	»Syrup,« sagte das Murmelthier, diesmal ganz ohne zu überlegen.
Now you know.'	Dos empezó en una vocecita temblorosa: --Pues, verá usted, señorita, el hecho es que esto tenía que haber sido un rosal rojo, y nosotros plantamos uno blanco por equivocación, y, si la Reina lo descubre, nos cortarán a todos la cabeza, sabe.	— è sconveniente.	Não entendo.	elle reprit donc courage et continua :	»Ich brauche eine reine Tasse,« unterbrach der Hutmacher, »wir wollen Alle einen Platz rücken.«
'And what are they made of?' Alice asked in a tone of great curiosity.	Así que, ya ve, señorita, estamos haciendo lo posible, antes de que ella llegue, para...	Il Cappellaio spalancò gli occhi;	De onde é que eles desenhavam o xarope?	« J’ignorais qu’il y eût des chats de cette espèce.	Er rückte, wie er das sagte, und das Murmelthier folgte ihm;
'Soles and eels, of course,' the Gryphon replied rather impatiently: 'any shrimp could have told you that.'	En este momento, Cinco, que había estado mirando ansiosamente por el jardín, gritó: «¡La Reina! ¡La Reina!» , y los tres jardineros se arrojaron inmediatamente de bruces en el suelo.	ma quel che rispose fu questo:	'	Au fait j’ignorais qu’un chat pût grimacer.	der Faselhase rückte an den Platz des Murmelthiers, und Alice nahm, obgleich etwas ungern, den Platz des Faselhasen ein.
'If I'd been the whiting,' said Alice, whose thoughts were still running on the song, 'I'd have said to the porpoise, 'Keep back, please: we don't want you with us!''	Se oía un ruido de muchos pasos, y Alicia miró a su alrededor, ansiosa por ver a la Reina.	— Perchè un corvo somiglia a uno scrittoio?	'Se pode desenhar na água de um poço de água.	»	Der Hutmacher war der Einzige, der Vorteil von diesem Wechsel hatte, und Alice hatte es viel schlimmer als zuvor, da der Faselhase eben den Milchtopf über seinen Teller umgestoßen hatte.
'They were obliged to have him with them,' the Mock Turtle said: 'no wise fish would go anywhere without a porpoise.'	Primero aparecieron diez soldados, enarbolando tréboles.	— Ecco, ora staremo allegri!	' disse o Chapeleiro: 'também pode desenhar xarope de um poço de xarope, estúpida!'	« Ils le peuvent tous, » dit la Duchesse ;	Alice wollte das Murmelthier nicht wieder beleidigen und fing daher sehr vorsichtig an:
'Wouldn't it really?' said Alice in a tone of great surprise.	Tenían la misma forma que los tres jardineros, oblonga y plana, con las manos y los pies en las esquinas.	— pensò Alice.	'Mas elas estavam dentro do poço,' disse Alice ao Arganaz, preferindo ignorar este último comentário.	« et la plupart le font	»Aber ich verstehe nicht.
'Of course not,' said the Mock Turtle: 'why, if a fish came to me, and told me he was going a journey, I should say 'With what porpoise?''	Después seguían diez cortesanos, adornados enteramente con diamantes, y formados, como los soldados, de dos en dos.	—Sono contenta che hanno cominciato a proporre degli indovinelli... credo di poterlo indovinare, — soggiunse ad alta voce.	'Claro que estavam dentro.	.	Wie konnten sie den Syrup zeichnen?«
'Don't you mean 'purpose'?' said Alice.	A continuación venían los infantes reales; eran también diez, y avanzaban saltando, cogidos de la mano de dos en dos, adornados con corazones.	— Intendi dire che credi che troverai la risposta?	' disse o Arganaz;	»	»Als ob nicht aller Syrup gezeichnet wäre, den man vom Kaufmann holt,« sagte der Hutmacher;
'I mean what I say,' the Mock Turtle replied in an offended tone.	Después seguían los invitados, casi todos reyes y reinas, y entre ellos Alicia reconoció al Conejo Blanco: hablaba atropelladamente, muy nervioso, sonriendo sin ton ni son, y no advirtió la presencia de la niña.	— domandò la Lepre di Marzo.	Esta resposta confundiu tanto a pobre Alice que deixou o Arganaz continuar sem interrupções por algum tempo.	« Je n’en connais pas un qui grimace, » dit Alice poliment, bien contente d’être entrée en conversation.	»hast du nicht immer darauf gesehen: feinste Qualität, allerfeinste Qualität, superfeine Qualität oh, du kleiner Dummkopf
And the Gryphon added 'Come, let's hear some of your adventures.'	A continuación venía el Valet de Corazones, que llevaba la corona del Rey sobre un cojín de terciopelo carmesí.	— Appunto, — rispose Alice.	'Elas estavam a aprender a desenhar,' continuou o Rato, bocejando e esfregando os olhos, pois estava ficando muito sonolento: 'e desenhavam todo o gênero de coisas.	« Le fait est que vous ne savez pas grand’chose, » dit la Duchesse.	?
'I could tell you my adventures--beginning from this morning,' said Alice a little timidly: 'but it's no use going back to yesterday, because I was a different person then.'	Y al final de este espléndido cortejo avanzaban EL REY Y LA REINA DE CORAZONES.	— Ebbene, dicci ciò che intendi, — disse la Lepre di Marzo.	Desenhavam tudo o que começa com um M--'	Le ton sur lequel fut faite cette observation ne plut pas du tout à Alice, et elle pensa qu’il serait bon de changer la conversation.	«
'Explain all that,' said the Mock Turtle.	Alicia estaba dudando si debería o no echarse de bruces como los tres jardineros, pero no recordaba haber oído nunca que tuviera uno que hacer algo así cuando pasaba un desfile.	— Ecco, — riprese Alice in fretta;	'Porquê com um M?	Tandis qu’elle cherchait un autre sujet, la cuisinière retira de dessus le feu le chaudron plein de soupe, et se mit aussitôt à jeter tout ce qui lui tomba sous la main à la Duchesse et au bébé — la pelle et les pincettes d’abord, à leur suite vint une pluie de casseroles, d’assiettes et de plats.	»Wie gesagt, fuhr das Murmelthier fort, lernten sie zeichnen;«
'No, no!	«Y además», pensó, «¿de qué serviría un desfile, si todo el mundo tuviera que echarse de bruces, de modo que no pudiera ver nada?	— almeno intendo ciò che dico... è lo stesso, capisci.	' perguntou Alice	La Duchesse n’y faisait pas la moindre attention, même quand elle en était atteinte, et l’enfant hurlait déjà si fort auparavant qu’il était impossible de savoir si les coups lui faisaient mal ou non.	hier gähnte es und rieb sich die Augen, denn es fing an, sehr schläfrig zu werden; »
The adventures first,' said the Gryphon in an impatient tone: 'explanations take such a dreadful time.'	» Así pues, se quedó quieta donde estaba, y esperó.	—	'E porque não?' respondeu a Lebre de Março.	« Oh ! je vous en prie, prenez garde à ce que vous faites, » criait Alice, sautant ça et là et en proie à la terreur.	und sie zeichneten Allerlei Alles was mit M. anfängt -«
So Alice began telling them her adventures from the time when she first saw the White Rabbit.	Cuando el cortejo llegó a la altura de Alicia, todos se detuvieron y la miraron, y la Reina preguntó severamente: --¿Quién es ésta?	Ma che lo stesso! — disse il Cappellaio.	Alice ficou em silêncio.	« Oh ! son cher petit nez !	»Warum mit M. ?« fragte Alice.
She was a little nervous about it just at first, the two creatures got so close to her, one on each side, and opened their eyes and mouths so very wide, but she gained courage as she went on.	La pregunta iba dirigida al Valet de Corazones, pero el Valet no hizo más que inclinarse y sonreír por toda respuesta.	— Sarebbe come dire che “veggo ciò che mangio” sia lo stesso di “mangio quel che veggo.	O Arganaz tinha fechado os olhos e preparava-se para adormecer;	»	»Warum nicht?« sagte der Faselhase.
Her listeners were perfectly quiet till she got to the part about her repeating 'You are old, Father William,' to the Caterpillar, and the words all coming different, and then the Mock Turtle drew a long breath, and said 'That's very curious.'	--¡Idiota! --dijo la Reina, agitando la cabeza con impaciencia, y, volviéndose hacia Alicia, le preguntó--: ¿Cómo te llamas, niña?	”	mas, beliscado pelo Chapeleiro, acordou com um pequeno grito e continuou: 'que começavam com um M, tal como madeira, molho, memória, muiticidade - sabe, quando se diz que as coisas são 'muito de uma muiticidade' -- alguma vez viste um desenho de uma muiticidade?	Une casserole d’une grandeur peu ordinaire venait de voler tout près du bébé, et avait failli lui emporter le nez.	Alice war still.
'It's all about as curious as it can be,' said the Gryphon.	--Me llamo Alicia, para servir a Su Majestad --contestó Alicia en un tono de lo más cortés, pero añadió para sus adentros: «Bueno, a fin de cuentas, no son más que una baraja de cartas.	— Sarebbe come dire, — soggiunse la Lepre di Marzo, — che “mi piace ciò che prendo”, sia lo stesso che “prendo ciò che mi piace?	'	« Si chacun s’occupait de ses affaires, » dit la Duchesse avec un grognement rauque, « le monde n’en irait que mieux.	Das Murmelthier hatte mittlerweile die Augen zugemacht, und war halb eingeschlafen;
'It all came different!' the Mock Turtle repeated thoughtfully.	¡No tengo por qué sentirme asustada!»	”	'Sério, agora me pergunta,' disse Alice, muito confusa, 'acho que nunca...	»	da aber der Hutmacher es zwickte, wachte es mit einem leisen Schrei auf und sprach weiter: »was mit M anfängt, wie Mausefallen, den Mond, Mangel, und manches Mal ihr wißt, man sagt: ich habe das manches liebe Mal gethan
'I should like to hear her try and repeat something now.	--¿Y quiénes son éstos? --siguió preguntando la Reina, mientras señalaba a los tres jardineros que yacían en torno al rosal	— Sarebbe come dire, — aggiunse il Ghiro che pareva parlasse nel sonno, — che “respiro quando dormo”, sia lo stesso che “dormo quando respiro?”	'	« Ce qui ne serait guère avantageux, » dit Alice, enchantée qu’il se présentât une occasion de montrer un peu de son savoir.	hast
Tell her to begin.'	.	— È lo stesso per te, — disse il Cappellaio.	'Então não devia falar,' disse o Chapeleiro.	« Songez à ce que deviendraient le jour et la nuit ;	du
He looked at the Gryphon as if he thought it had some kind of authority over Alice.	Porque, claro, al estar de bruces sólo se les veía la parte de atrás, que era igual en todas las cartas de la baraja, y la Reina no podía saber si eran jardineros, o soldados, o cortesanos, o tres de sus propios hijos.	E qui la conversazione cadde, e tutti stettero muti per un poco, mentre Alice cercava di ricordarsi tutto ciò che sapeva sui corvi e sugli scrittoi, il che non era molto.	Esta grosseria foi demais para Alice:	vous voyez bien, la terre met vingt-quatre heures à faire sa révolution.	je manches liebe Mal gezeichnet gesehen
'Stand up and repeat ''Tis the voice of the sluggard,'' said the Gryphon.	--¿Cómo voy a saberlo yo? --replicó Alicia, asombrada de su propia audacia--.	Il Cappellaio fu il primo a rompere il silenzio.	levantou-se com desprezo e pôs-se a andar; o Arganaz adormeceu instantaneamente, e nenhum dos outros pareceu notar a sua partida, apesar de ela ter olhado para trás uma ou duas vezes, ainda esperançosa que eles a chamassem.	»	?
'How the creatures order one about, and make one repeat lessons!' thought Alice; 'I might as well be at school at once.'	¡No es asunto mío!	— Che giorno del mese abbiamo?	Na última vez que olhou, estavam a tentar enfiar o Arganaz no bule do chá.	« Ah ! vous parlez de faire des révolutions !	«
However, she got up, and began to repeat it, but her head was so full of the Lobster Quadrille, that she hardly knew what she was saying, and the words came very queer indeed:--	La Reina se puso roja de furia, y, tras dirigirle una mirada fulminante y feroz, empezó a gritar: --¡Que le corten la cabeza! ¡Que le corten...!	— disse, volgendosi ad Alice.	'De qualquer das formas, nunca vou voltar ali!	» dit la Duchesse.	»Wirklich, da du mich selbst fragst,« sagte Alice ganz verwirrt, »ich denke kaum -«
''Tis the voice of the Lobster; I heard him declare,	--¡Tonterías! --exclamó Alicia, en voz muy alta y decidida.	Aveva cavato l'orologio dal taschino e lo guardava con un certo timore, scuotendolo di tanto in tanto, e portandoselo all'orecchio.	' disse Alice enquanto escolhia o seu caminho pela floresta.	« Qu’on lui coupe la tête !	»Dann solltest du auch nicht reden,« sagte der Hutmacher.
'You have baked me too brown, I must sugar my hair.'	Y la Reina se calló.	Alice meditò un po' e rispose:	'É a festa de chá mais estúpida em que já estive em toda minha vida!	»	Dies war nachgerade zu grob für Alice:
As a duck with its eyelids, so he with his nose Trims his belt and his buttons, and turns out his toes.'	El Rey le puso la mano en el brazo, y dijo con timidez: Considera, cariño, que sólo se trata de una niña!	— Oggi ne abbiamo quattro.	'	Alice jeta un regard inquiet sur la cuisinière pour voir si elle allait obéir ;	sie stand ganz beleidigt auf und ging fort;
